Employee ID,Age,Experience (years),Education Level,Average Handling Time (AHT),Efficiency (%)
39,21,3, Bachelor,17,
23,23,7, Bachelor,18,
37,24,3, Bachelor,25,
27,18,8, Bachelor,28,
36,40,3, Bachelor,28,
34,40,2, Bachelor,23,
23,40,3, High School ,24,
39,29,4, High School ,25,
34,29,3, Master's ,16,
29,25,1, Master's ,24,
20,24,2, Master's ,20,
35,21,5, PhD ,21,
33,27,1, Bachelor,25,
23,37,7, Bachelor,16,
32,24,2, Bachelor,20,
25,31,7, Bachelor,30,
38,36,6, Bachelor,16,
19,26,1, Bachelor,25,
29,32,5, High School ,28,
19,40,8, High School ,17,
